: X/Open regex tests 2010-11-22

# basic sanity

BEA	abracadabra$	abracadabracadabra	(7,18)
Bu	\(^*a\)		^a	NOMATCH
Bu	\(^*a\)		*a	(0,2)(0,2)
Bu	\(^*a\)		^*a	NOMATCH

Bu	\(^a\)		ba	NOMATCH
Bu	\(^a\)		b^a	NOMATCH
Bu	\(^*a\)		ba	NOMATCH
Bu	\(^*a\)		b^a	NOMATCH
Bu	\(^*a\)		b*a	NOMATCH
Bu	\(^*a\)		b^*a	NOMATCH

Bu	\(a$\)		a	(0,1)(0,1)
Bu	\(a$\)		a$	NOMATCH
Bu	\(a$*\)		a*	(0,1)(0,1)
Bu	\(a$*\)		a$*	(0,2)(0,2)

Bu	\(a$b\)		ab	NOMATCH
Bu	\(a$b\)		a$b	(0,3)(0,3)
Bu	\(a$*b\)	ab	(0,2)(0,2)
Bu	\(a$*b\)	a$b	(0,3)(0,3)
Bu	\(a$*b\)	a*b	NOMATCH
Bu	\(a$*b\)	a$*b	NOMATCH

# anchors aweigh

B	*		*		(0,1)
B	^*		*		(0,1)
B	^*		^*		NOMATCH

E	*		*		BADRPT
E	^*		*		(0,0)
E	^*		^*		(0,0)

B	^a		a		(0,1)
B	^^a		a		NOMATCH
B	^^a		^a		(0,2)
B	^*a		a		NOMATCH
B	*a		*a		(0,2)
B	^*a		*a		(0,2)
B	^^*a		a		(0,1)
B	^^*a		^a		(0,2)

E	^a		a		(0,1)
E	^^a		a		(0,1)
E	^*a		a		(0,1)
E	^^*a		a		(0,1)

E	^a		ba		NOMATCH
E	^^a		ba		NOMATCH
E	^*a		ba		(1,2)
E	^^*a		ba		NOMATCH

E	^*		.^^^^^+++++	(0,0)
E	^^*		.^^^^^+++++	(0,0)
E	^*		.^^^^^+++++	(0,0)
E	^^*		.^^^^^+++++	(0,0)
E	^^*a		abc		(0,1)

E	^+		.^^^^^+++++	(0,0)
E	^^+		.^^^^^+++++	(0,0)
E	^+		.^^^^^+++++	(0,0)
E	^^+		.^^^^^+++++	(0,0)
E	^^+a		abc		(0,1)

B	a^z		a^z		(0,3)
B	a^^*z		a^^z		(0,4)

B	a^z		az		NOMATCH
B	a^z		a^z		(0,3)
B	a^*z		az		(0,2)
B	a^*z		a^z		(0,3)
B	a^*z		a^^z		(0,4)
B	a^^*z		a^^z		(0,4)

E	a^z		az		NOMATCH
E	a^z		a^z		NOMATCH
E	a^*z		az		(0,2)
E	a^*z		a^z		NOMATCH
E	a^*z		a^^z		NOMATCH
E	a^^*z		a^^z		NOMATCH

B	\(abc$\)	abcdef		NOMATCH
E	(abc$)		abcdef		NOMATCH

# implicit anchoring

EAl	a.|b		a			NOMATCH
EAr	a.|b		a			NOMATCH
EAa	a.|b		a			NOMATCH
EAl	a.|b		b			(0,1)
EAr	a.|b		b			(0,1)
EAa	a.|b		b			(0,1)
EAl	a.|b		ab			(0,2)
EAr	a.|b		ab			(0,2)
EAa	a.|b		ab			(0,2)
EAl	a.|b		ba			(0,1)
EAr	a.|b		ba			NOMATCH
EAa	a.|b		ba			NOMATCH

EAl	(a.|b)		a			NOMATCH
EAr	(a.|b)		a			NOMATCH
EAa	(a.|b)		a			NOMATCH
EAl	(a.|b)		b			(0,1)(0,1)
EAr	(a.|b)		b			(0,1)(0,1)
EAa	(a.|b)		b			(0,1)(0,1)
EAr	(a.|b)		ba			NOMATCH
EAa	(a.|b)		ba			NOMATCH

BEAl	b		b			(0,1)
BEAr	b		b			(0,1)
BEAa	b		b			(0,1)
BEAl	b		ba			(0,1)
BEAr	b		ba			NOMATCH
BEAa	b		ba			NOMATCH

Al	((...)*(.....)*)!	aa		(0,2)
Ar	((...)*(.....)*)!	aa		(0,2)
Aa	((...)*(.....)*)!	aa		(0,2)
Al	((...)*(.....)*)!	aaa		(0,2)
Ar	((...)*(.....)*)!	aaa		(1,3)
Aa	((...)*(.....)*)!	aaa		NOMATCH

# longest leftmost match

EA	(..)*(...)*		a	(0,0)
EA	(..)*(...)*		abc	(0,3)(?,?)(0,3)
EA	(..)*(...)*		abcd	(0,4)(2,4)
EA	(..)*(...)*.*		abc	(0,3)(0,2)
EA	((..)*(...)*).*		abc	(0,3)(0,3)(?,?)(0,3)
EA	((...)*(..)*).*		abcd	(0,4)(0,4)(?,?)(2,4)
EA	(...)*(..)*.*		abcd	(0,4)(0,3)
EA	(a|ab)(bc|c)		abc	(0,3)(0,2)(2,3)
EA	(ab|a)(bc|c)		abc	(0,3)(0,2)(2,3)
EA	(ab)c|abc		abc	(0,3)(0,2)
EA	abc|(ab)c		abc	(0,3)

B	\(..\)*\(...\)*		a	(0,0)
B	\(..\)*\(...\)*		abc	(0,3)(?,?)(0,3)
B	\(..\)*\(...\)*		abcd	(0,4)(2,4)
B	\(..\)*\(...\)*.*	abc	(0,3)(0,2)
B	\(\(..\)*\(...\)*\).*	abc	(0,3)(0,3)(?,?)(0,3)

# shortest leftmost match

Bm	abracadabra*	abracadabracadabra	(0,10)
EAm	abracadabra*	abracadabracadabra	(0,10)
EAm	(abc)+		abcabcabcabcabcabc	(0,3)(0,3)
EAm	(abc)+(abc)+	abcabcabcabcabcabc	(0,6)(0,3)(3,6)
EAm	(abc)+.*(abc)+	abcabcabcabcabcabc	(0,6)(0,3)(3,6)
EAm	(abc)+.*(abc)+	abcxxxxxxabcabc		(0,12)(0,3)(9,12)
EAm	abcd|efg|hi|j	jhiefgabcd		(0,1)
EAm	abcd|efg|hi|j	abcdefghij		(0,4)
EAm	(..)*(...)*	a			(0,0)
EAm	(..)*(...)*	abc			(0,0)
EAm	(..)*(...)*	abcd			(0,0)
EAm	((..)*(...)*).*	abc			(0,0)(0,0)
EAm	((...)*(..)*).*	abcd			(0,0)(0,0)
EAm	(...)*(..)*.*	abcd			(0,0)
EAm	(a|ab)(bc|c)	abc			(0,3)(0,1)(1,3)
EAm	(ab|a)(bc|c)	abc			(0,3)(0,1)(1,3)
EAm	(ab)c|abc	abc			(0,3)(0,2)
EAm	abc|(ab)c	abc			(0,3)

BEAm	.		abc			(0,1)
BEAml	.		abc			(0,1)
BEAmr	.		abc			(2,3)
BEAmlr	.		abc			NOMATCH
BEAmlr	.		a			(0,1)

# backreference

B	\(\(.\)\2\)*a	xxbxxyya	(3,8)(5,7)(5,6)
B	\(\(x\)\2\)*a	xxbxxyyaa	(7,8)
B	\(\(x\)*a\)*	xaxxaa		(0,6)(5,6)
B	\(\(a*b*\)\2\)*	abbabbaa	(0,8)(6,8)(6,7)

B	\(.*\)\1\1\(.*\)\2\2\2	aaa	(0,3)(0,1)(3,3)
B	\(.*\)\1\1\(.*\)\2\2\2	aaaa	(0,4)(0,0)(0,1)
B	\(.*\)\1\1\(.*\)\2\2\2	aaaaa	(0,4)(0,0)(0,1)
B	\(.*\)\1\1\(.*\)\2\2\2	aaaaaa	(0,6)(0,2)(6,6)
B	\(.*\)\1\1\(.*\)\2\2\2	aaaaaaa	(0,7)(0,1)(3,4)
B	\(.*\)\1\1\(.*\)\2\{3\}	aaaaaaa	(0,7)(0,1)(3,4)

B	\(.*\)\1*		ababab	(0,6)(0,6)
B	\(.*\)\1*		abABAb	(0,6)(0,6)
B	\(.*\)\1*\1		ababab	(0,6)(0,2)
Bi	\(.*\)\1*\1		abABAb	(0,6)(0,2)
B	\(\(b\)\)*\2		ab	NOMATCH
B	\(\(a\)\)*\(\2\)*\(b\)	ab	(0,2)(0,1)(0,1)(?,?)(1,2)

B	\(\(a\)\(b\)*\2\3\)*	a	(0,0)
B	\(\(a\)\(b\)*\2\3\)*	aa	(0,0)
B	\(\(a\)\(b\)*\2\3\)*	abab	(0,4)(0,4)(0,1)(1,2)
B	\(\(a\)\(b\)*\2\3\)*	ababaab	(0,4)(0,4)(0,1)(1,2)
B	\(\(a\)\(b\)*\2\3\)*	abbab	(0,5)(0,5)(0,1)(2,3)

B	\(a\)*\1		a	NOMATCH
B	\(a\)*b\1		ab	NOMATCH
B	\(a\)\(b\)*\(z\)	az	(0,2)(0,1)(?,?)(1,2)
B	\(\(a\)\(b\)*\2\3\)	aab	NOMATCH
B	\(\(a\)\(b\)*\2\3\)*	aab	(0,0)
B	\(\(a\)\(b*\)\2\3\)	aab	(0,2)(0,2)(0,1)(1,1)
B	\(\(a\)\(b*\)\2\3\)*	aab	(0,2)(0,2)(0,1)(1,1)

B	\(\(x\)\2\)*\(\(x\)\4\4\)*	xxxxxxy	(0,6)(4,6)(4,5)

B	[ab]*\(b[ab]*\)\1	baaabaababbaaabaabab	(0,20)(0,10)
B	[ab]*\(b[ab]*\)\1[ab]*	baaabaababbaaabaabab	(0,20)(9,10)

B	a\1			NULL	ESUBREG
B	\(\1\)			NULL	ESUBREG
B	\(.\)\0			NULL	BADESC

B	\(.*\)\1		Aabab	(0,0)(0,0)
B	\(.*\)\1		AababZ	(0,0)(0,0)
B	\(.*\)\1		abab	(0,4)(0,2)
B	\(.*\)\1		ababZ	(0,4)(0,2)
B	\(.*\)\1$		Aabab	(1,5)(1,3)
B	\(.*\)\1$		abab	(0,4)(0,2)
B	\(.*\)\1$		xabab	(1,5)(1,3)
B	^\(.*\)\1$		abab	(0,4)(0,2)
B	\(.*\)\1Z		Aabab	NOMATCH
B	\(.*\)\1Z		AababZ	(1,6)(1,3)
B	\(.*\)\1Z		ababZ	(0,5)(0,2)
B	A\(.*\)\1Z		AababZ	(0,6)(1,3)

# duplications

B	*		*			(0,1)
B	a+		aa+			(1,3)
B	\(*x\)		x*x			(1,3)(1,3)
EA	a{0}b		ab			(1,2)
BEAi	ba*BA*		AaBaAbAa		(2,8)
EA	(a+ba*)*	abaabaaabaaaa		(0,13)(7,13)
EA	((ax)+b(ax)*)*	axbaxaxbaxaxaxbaxaxaxax	(0,23)(12,23)(12,14)(21,23)
EA	(a*)(b?)(b+)b{3}	aaabbbbbbb	(0,10)(0,3)(3,4)(4,7)
EA	(a*)(b{0,1})(b{1,})b{3}	aaabbbbbbb	(0,10)(0,3)(3,4)(4,7)
B	\(a*\)\(b\{0,1\}\)\(b\{1,\}\)b\{3\}	aaabbbbbbb	(0,10)(0,3)(3,4)(4,7)

EA	(a*){1,3}	aaa	(0,3)(0,3)
EA	(a*){2,3}	aaa	(0,3)(3,3)
EA	(a*){1,}	aaa	(0,3)(0,3)
EA	(a*){2}		aaa	(0,3)(3,3)
B	\(a*\)\{1,3\}	aaa	(0,3)(0,3)
B	\(a*\)\{2,3\}	aaa	(0,3)(3,3)
B	\(a*\)\{1,\}	aaa	(0,3)(0,3)
B	\(a*\)\{2\}	aaa	(0,3)(3,3)
B	\(a*\)\{1,3\}\1	aaa	(0,3)(3,3)
B	\(a*\)\{2,3\}\1	aaa	(0,3)(3,3)
B	\(a*\)\{1,\}\1	aaa	(0,3)(3,3)
B	\(a*\)\{2\}\1	aaa	(0,3)(3,3)

EA	*		NULL	BADRPT
EA	+		NULL	BADRPT
EA	?		NULL	BADRPT
EA	(*x)		NULL	BADRPT

EA	a{17		NULL	EBRACE
B	a\{17		NULL	EBRACE
EA	a{2,1}		NULL	BADBR
B	a\{2,1\}	NULL	BADBR
EA	a{9876543210}	NULL	BADBR
EA	a{-1}		NULL	BADBR
EA	a{1,10		NULL	EBRACE
EA	a{1,10x}	NULL	BADBR
B	a\{1,10.\}	NULL	BADBR

# alternations (these tests are not adequate to test an
# optimizing compiler, because many of them can be
# easily converted to simpler expressions, often involving
# character classes)

EA	(a|at|ate|aten)(ten|en|n|d)	atend	(0,5)(0,4)(4,5)
EA	(a|aa|aaa|aaaaa)(aa|aaaa|aaa)	aaaaaa	(0,6)(0,3)(3,6)
EA	(a|a.|a..|a....)(a.|a...|a..)	aaaaaa	(0,6)(0,3)(3,6)
EA	(a*b|b*a)(a*b|b*a)		bbaa	(0,4)(0,3)(3,4)
EA	(ab|((ab)c|abc))c*		abc	(0,3)(0,3)(0,3)(0,2)
EA	((a*b*c*)|(a*c*b*))*		abcacb	(0,6)(3,6)(?,?)(3,6)
EA	(a|(a|a))			a	(0,1)(0,1)
EA	((a|a)|a)			a	(0,1)(0,1)(0,1)
EA	a*(a|aa)			aaaa	(0,4)(3,4)
EA	(a*)(a|aa)			aaaa	(0,4)(0,3)(3,4)
EA	a*(a.|aa)			aaaa	(0,4)(2,4)
EA	a(b)|c(d)|a(e)f			aef	(0,3)(?,?)(?,?)(1,2)
EA	a(b)|a(b)c			abc	(0,3)(?,?)(1,2)
EA	.*(a|b)?			b	(0,1)
EA	(a|b)?.*			b	(0,1)(0,1)
EA	.*(a|b).*			aa	(0,2)(1,2)
EA	(a|b)c|a(b|c)			ac	(0,2)(0,1)
EA	(a|b)c|a(b|c)			ab	(0,2)(?,?)(1,2)
EA	(a|b)*c|(a|ab)*c		abc	(0,3)(1,2)
EA	(a|b)*c|(a|ab)*c		xc	(1,2)
EA	((a|ab)(bc|c)|abc)		abc	(0,3)(0,3)(0,2)(2,3)
EA	((.a|.ab)(bc.|c.)|abc.)		xabcx	(0,5)(0,5)(0,3)(3,5)
EA	(a|b)*|(c|d)*			cd	(0,2)(?,?)(1,2)
EA	(a.|b.)*|(c.|d.)*		cxdx	(0,4)(?,?)(2,4)
EA	(.a|.b).*|.*(.a|.b)		xa	(0,2)(0,2)
EA	(aa|ba)*a.*(b|bb)		abbb	(0,4)(?,?)(3,4)
EA	(a{1}a|ba)*a.*(b{1}|bb)		abbb	(0,4)(?,?)(3,4)
EA	.*|.*(a|b)?			aa	(0,2)
EA	.*(b|abc)			abc	(0,3)(0,3)
EA	a?(ab|ba)ab			abab	(0,4)(0,2)
EA	a?(ac{0}b|ba)ab			abab	(0,4)(0,2)
EA	ab|abab				aabab	(1,5)
EA	ab|abab				abbabab	(0,2)
EA	aba|bab|bba			baaabbbaba	(5,8)
EA	aba|bab				baaabbbaba	(6,9)

EA	(aa|aaa)*|(a|aaaaa)		a	(0,1)(?,?)(0,1)
EA	(aa|aaa)*|(a|aaaaa)		aa	(0,2)(0,2)
EA	(aa|aaa)*|(a|aaaaa)		aaa	(0,3)(0,3)
EA	(aa|aaa)*|(a|aaaaa)		aaaa	(0,4)(2,4)
EA	(aa|aaa)*|(a|aaaaa)		aaaaa	(0,5)(3,5)
EA	(a.|a..)*|(a|a....)		a	(0,1)(?,?)(0,1)
EA	(a.|.a.)*|(a|.a...)		aa	(0,2)(0,2)
EA	(a.|..a)*|(a|..a..)		aaa	(0,3)(0,3)
EA	(a.|a..)*|(a|...a.)		aaaa	(0,4)(2,4)
EA	(a.|.a.)*|(a|....a)		aaaaa	(0,5)(3,5)

EA	ab|a				xabc	(1,3)
EA	ab|a				xxabc	(2,4)
EA	ab|cd				bc	NOMATCH
EAi	(Ab|cD)*			aBcD	(0,4)(2,4)

# character classes

BEA	[a-z][0-9]		AZ90az90	(5,7)
BEAi	[a-z][0-9]		AZ90az90	(1,3)
BEA	[\z]*			z\		(0,2)
EA	[^a-z]+			a@Z`{z		(1,5)
B	[$[:xdigit:].,]\{1,\}	gfa$1,234.AFG	(1,12)
BEA	[---]			a-b		(1,2)
BEA	[^-]			--a		(2,3)
BEA	[a-]*			--a		(0,3)
BEA	[a-m-]*			--amoma--	(0,4)
BEAx	[b-y][b-y]*		-abcmxyz-	(2,7)
BEAx	[m-y][m-y]*		-abcmxyz-	(4,7)
BEAx	[b-mm-y][b-mm-y]*	-abcmxyz-	(2,7)
BEAx	[b-m-y][b-m-y]*		-abcmxyz-	(2,7)
BEAx	[c-b][c-b]*		-abcmn-		NOMATCH
BEAx	[c-m][c-m]*		-abcmn-		(3,5)
BEAx	[c-m-b][c-m-b]*		-abcmn-		(3,5)
BEAx	[c-mm-b][c-mm-b]*	-abcmn-		(3,5)

BEA	[z-a]		NULL	ERANGE
BEA	[^]		NULL	EBRACK
BEA	[^abc		NULL	EBRACK
BEA	[A-Z-a]		NULL	ERANGE
BEA	[a-m-z]		NULL	ERANGE

# BM botches

EA	:::1:::0:|:::1:1:0:	:::0:::1:::1:::0:	(8,17)
EA	:::1:::0:|:::1:1:1:	:::0:::1:::1:::0:	(8,17)

# collating elements

{E	[[:upper:]]		A		(0,1)	[[<element>]] not supported
BEA	[[:lower:]][[:digit:]]	AZ90az90	(5,7)
BEA	[[.a.]-z][[.0.]-9]	AZ90az90	(5,7)
BEAi	[[:upper:]][[:lower:]]	aBCde		(0,2)
EA	[[:lower:]]+		`az{		(1,3)
EA	[[:upper:]]+		@AZ[		(1,3)
EAi	[[=Z=]]+		azZa		(1,3)
BEA	[[=a=]b]*		abc		(0,2)
BEA	[[.-.][.].][.^.]]*	]-^a		(0,3)
BEA	[[-]]			[[-]]		(2,4)

BEA	[]][[.].]][[.].]]	a]]]		(1,4)
EA	[[-[.].]]+		Z[-]^		(1,2)
EA	[[-[.].]]+		Z[]^		(1,3)

BEA	[[=*=]][[=\=]][[=]=]][[===]][[...]][[:punct:]]	*\]=.;	(0,6)

BEA	[[:upper:]-z]	NULL	ERANGE
BEA	[[.a.]-[=b=]]*	NULL	ERANGE
BEA	[[.NIL.]]	NULL	ECOLLATE
BEA	abc[[		NULL	EBRACK
BEA	[^abc		NULL	EBRACK
BEA	[[..]]		NULL	ECOLLATE
BEA	[[.-		NULL	ECOLLATE
BEA	[[.^.]		NULL	EBRACK
BEA	[[		NULL	EBRACK
BEA	[[=		NULL	ECOLLATE
BEA	[[=a		NULL	ECOLLATE
BEA	[[=a=		NULL	ECOLLATE
BEA	[[=a=]		NULL	EBRACK
BEA	[[:greek:]]	NULL	ECTYPE
BEA	[[:upperc:]]	NULL	ECTYPE
BEA	[[:upper=]]	NULL	ECTYPE
BEA	[[:upper:}]	NULL	ECTYPE
BEA	[[=aleph=]]	NULL	ECOLLATE
EAn$	[[.\n.]]	\n	(0,1)
}

# metacharacters

B	\$$\^^\\\.()\[]		$$^^\.()[]	(0,10)
EA	\$\^\\\.\{}\(\))\[]	$^\.{}())[]	(0,11)

BEA	\		NULL	EESCAPE
BEA	\\\		NULL	EESCAPE
BEA	[		NULL	EBRACK
EA	(		NULL	EPAREN
BEA	\j		NULL	BADESC

# NOTBOL, NOTEOL, NEWLINE

BEAb	^a		abc	NOMATCH
BEAe	a$		aaa	NOMATCH
BEAen$	a$		aa\na	(1,2)
BEA$	.		\n	(0,1)
BEAn$	.		\n	NOMATCH
BEAn$	.*$		a\na	(0,1)
BEA$	\n		\n	(0,1)
BEAn$	\n		\n	(0,1)
BEAbn$	^a		a\na	(2,3)
BEA$	[^a]		\n	(0,1)
BEAn$	[^a]		\n	NOMATCH
EAn$	.^		\na	NOMATCH
EAn$	$.		\n	NOMATCH
EAn$	$		\n	(0,0)
EAn$	\n^		\na	(0,1)
BEA$	\na		\na	(0,2)

# NOSUB

EA	(a)(b)(c)	abc	(0,3)(0,1)(1,2)(2,3)
BEA	xxx		xxx	(0,3)
BEA	xxx		xx	NOMATCH

# mouthfuls

B	\(.\)\(.\)\(.\)\(.\)\(.\)\(.\)\(.\)\(.\)\(.\)\9\8\7\6\5\4\3\2\1	123456789987654321	(0,18)(0,1)(1,2)(2,3)(3,4)(4,5)(5,6)(6,7)(7,8)(8,9)
B	\(.\)\(.\)\(.\)\(.\)\(.\)\(.\)\(.\)\(.\)\(.\)\(.\)\9\8\7\6\5\4\3\2\1	1234567890987654321	(0,19)(0,1)(1,2)(2,3)(3,4)(4,5)(5,6)(6,7)(7,8)(8,9)(9,10)
B5	\(.\)\(.\)\(.\)\(.\)\(.\)\(.\)\(.\)\(.\)\(.\)\9\8\7\6\5\4\3\2\1	123456789987654321	(0,18)(0,1)(1,2)(2,3)(3,4)
B5	\(.\)\(.\)\(.\)\(.\)\(.\)\(.\)\(.\)\(.\)\(.\)\(.\)\9\8\7\6\5\4\3\2\1	1234567890987654321	(0,19)(0,1)(1,2)(2,3)(3,4)
EA1	(^|[ (,;])((([Ff]eb[^ ]* *|0*2/|\* */?)0*[6-7]))([^0-9]|$)	feb 6,	(0,6)
EA1	(^|[ (,;])((([Ff]eb[^ ]* *|0*2/|\* */?)0*[6-7]))([^0-9]|$)	2/7	(0,3)
EA1	(^|[ (,;])((([Ff]eb[^ ]* *|0*2/|\* */?)0*[6-7]))([^0-9]|$)	2/60	NOMATCH
EA1	(^|[ (,;])((([Ff]eb[^ ]* *|0*2/|\* */?)0*[6-7]))([^0-9]|$)	feb 1,Feb 6	(5,11)
EA3	((((((((((((((((((((((((((((((x))))))))))))))))))))))))))))))	x	(0,1)(0,1)(0,1)
EA3	((((((((((((((((((((((((((((((x))))))))))))))))))))))))))))))*	xx	(0,2)(1,2)(1,2)
EA3	((((((((((((((((((((((((((((((x)))))))))))))))))))))))))))))|xx)	xx	(0,2)(0,2)
EA	a?(ab|ba)*	abababababababababababababababababababababababababababababababababababababababab	(0,80)(78,80)
EA	a?(ab|ba)*	ababababababababababababababababababababababababababababababababababababababababa	(0,81)(79,81)
EA	abaa|abbaa|abbbaa|abbbbaa	ababbabbbabbbabbbbabbbbaa	(18,25)
EA	abaa|abbaa|abbbaa|abbbbaa	ababbabbbabbbabbbbabaa	(18,22)
EA	aaac|aabc|abac|abbc|baac|babc|bbac|bbbc	baaabbbabac	(7,11)

# augmented re's

{E	a\!		aa!a		(0,4)	ERE negation not supported
A	&		a		(0,0)
A	a!		a		(0,0)
A	[abc]+&[bcd]*	abcd		(1,3)
A	[abc]*&[bcd]+	abcd		(1,3)
A	(a.*)!&(.+)	abb		(1,3)(?,?)(1,3)
A	xy(.*xy.*)!xy	xy.xx.yy.xy.xy	(0,11)
A	a\!		aa!a		(1,3)
E	a!		aa!a		(1,3)
E	a\!		aa!a		(0,4)
A	a!		aa!a		(0,4)
A	x!a*		NULL		(0,0)
A	((...|.....)*)!		aa		(0,2)
A	((...|.....)*)!		aaa		(0,2)
A	((...|.....)*)!		aaaa		(0,4)
A	((...|.....)*)!		aaaaa		(0,4)
A	((...|.....)*)!		aaaaaa		(0,4)
A	((...|.....)*)!		aaaaaaa		(0,7)
A	((...|.....)*)!		aaaaaaaa	(0,7)
A	((...|.....)*)!		aaaaaaaaa	(0,7)
A	((...)*(.....)*)!	aa		(0,2)
A	((...)*(.....)*)!	aaa		(0,2)
A	((...)*(.....)*)!	aaaa		(0,4)
A	((...)*(.....)*)!	aaaaa		(0,4)
A	((...)*(.....)*)!	aaaaaa		(0,4)
A	((...)*(.....)*)!	aaaaaaa		(0,7)
A	((...)*(.....)*)!	aaaaaaaa	(0,7)
A	((...)*(.....)*)!	aaaaaaaaa	(0,7)
}

# word boundaries

{BE	\<abc\>		abcd:abc:		(5,8)	\<...\> not supported
A	<abc>		abcd:abc:		(5,8)
BE	\<abc\>		abcd:abc		(5,8)
A	<abc>		abcd:abc		(5,8)
BE	\<abc\>		abc:abc			(0,3)
A	<abc>		abc:abc			(0,3)
BE	\<abc\>		:abc:abc		(1,4)
A	<abc>		:abc:abc		(1,4)

BE	\<abc\>		xabcd:abc:		(6,9)
A	<abc>		xabcd:abc:		(6,9)
BE	\<abc\>		xabcd:abc		(6,9)
A	<abc>		xabcd:abc		(6,9)
